               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11788,            0.034914,             0.02861,          0.00028393,            0.038462,          0.00015801,          3.8978e-05,             0.10873,            0.037228,             0.02702,              0.0955,              0.0005,              0.0005
                   1,             0.11541,            0.037598,            0.028202,           0.0008364,            0.076923,          0.00047507,          0.00010744,             0.10548,             0.03915,            0.026862,            0.090089,           0.0010891,           0.0010891
                   2,             0.11198,            0.042842,            0.027694,          0.00097662,            0.096154,          0.00058378,          0.00014477,             0.10233,            0.040901,            0.026697,            0.084666,           0.0016663,           0.0016663
                   3,             0.10716,            0.043129,            0.027188,           0.0013997,             0.14103,            0.001322,          0.00023767,            0.099849,            0.042435,             0.02652,            0.079232,           0.0022317,           0.0022317
                   4,             0.10454,            0.045549,            0.026909,           0.0016703,             0.15385,           0.0015128,          0.00029007,            0.097936,            0.043766,            0.026373,            0.073785,           0.0027852,           0.0027852
                   5,             0.10146,            0.050115,             0.02664,           0.0015999,             0.14744,           0.0010662,          0.00023843,            0.095878,            0.045071,            0.026172,            0.068327,           0.0033267,           0.0033267
                   6,            0.099582,            0.051842,            0.026233,            0.001787,              0.1859,            0.001811,          0.00041523,            0.094407,            0.045746,            0.025952,            0.062856,           0.0038565,           0.0038565
                   7,            0.097929,            0.054412,            0.026138,            0.001955,             0.19231,           0.0023612,          0.00052706,            0.093853,            0.045769,            0.025726,            0.057374,           0.0043743,           0.0043743
                   8,             0.09666,            0.050545,            0.025764,            0.001955,             0.19231,           0.0037626,          0.00083498,             0.09376,            0.045845,            0.025555,             0.05188,           0.0048802,           0.0048802
                   9,            0.094337,            0.049876,            0.025338,            0.001955,             0.19231,           0.0027483,          0.00065266,            0.093824,            0.045513,            0.025403,            0.046374,           0.0053743,           0.0053743
                  10,            0.091367,            0.050096,            0.025332,           0.0029631,             0.23077,             0.01024,           0.0014449,            0.093893,            0.045277,            0.025244,            0.040857,           0.0058565,           0.0058565
                  11,            0.087433,            0.042483,            0.024783,           0.0029631,             0.23077,            0.028075,           0.0048022,            0.093384,            0.045128,            0.025055,            0.035327,           0.0063268,           0.0063268
                  12,            0.085322,            0.041952,            0.024592,           0.0032991,             0.24359,            0.023775,           0.0045019,            0.093001,            0.043888,            0.024817,            0.029785,           0.0067852,           0.0067852
                  13,            0.082707,            0.041151,            0.023997,           0.0080452,              0.5641,            0.046411,            0.011917,            0.087572,            0.043053,            0.024359,            0.024232,           0.0072318,           0.0072318
                  14,            0.078866,            0.042169,            0.023659,            0.067162,                0.25,            0.051355,            0.014859,             0.08109,            0.037827,            0.023694,            0.018666,           0.0076665,           0.0076665
                  15,            0.076371,            0.037962,            0.023427,             0.38922,             0.46503,              0.4035,             0.14372,             0.07326,            0.037838,            0.023285,            0.013089,           0.0080892,           0.0080892
                  16,            0.077827,              0.0377,            0.022598,             0.31261,             0.39744,             0.30692,             0.11226,            0.071916,            0.040279,            0.023041,            0.008416,            0.008416,            0.008416
                  17,            0.072471,            0.040233,            0.022387,             0.13301,             0.33333,             0.11558,            0.031207,            0.083781,             0.03426,            0.022961,            0.008416,            0.008416,            0.008416
                  18,            0.072157,            0.038092,             0.02195,             0.19038,             0.53468,             0.23846,            0.080508,            0.070307,            0.037567,            0.021735,            0.008317,            0.008317,            0.008317
                  19,            0.069073,            0.040668,            0.021451,             0.17847,             0.35897,             0.12037,            0.036365,            0.088618,            0.037758,            0.022644,            0.008218,            0.008218,            0.008218
                  20,            0.066463,            0.038546,             0.02063,             0.21413,             0.40385,             0.15442,             0.05056,            0.078836,            0.056374,            0.024493,            0.008119,            0.008119,            0.008119
                  21,            0.067875,            0.038459,            0.019996,             0.31518,             0.51923,             0.30212,            0.080022,            0.071133,            0.033485,            0.018924,             0.00802,             0.00802,             0.00802
                  22,            0.065505,            0.037904,             0.01935,             0.35406,             0.48077,             0.28672,             0.10658,            0.068022,            0.035309,            0.017813,            0.007921,            0.007921,            0.007921
                  23,             0.06584,            0.036757,             0.01828,             0.35989,             0.42428,             0.27677,            0.084953,            0.072415,            0.035919,            0.015477,            0.007822,            0.007822,            0.007822
                  24,            0.065712,            0.037049,            0.017416,              0.4427,             0.56954,             0.43687,             0.18339,            0.060471,            0.034145,            0.014671,            0.007723,            0.007723,            0.007723
                  25,             0.06455,             0.03572,            0.016514,             0.34757,             0.44361,             0.32185,             0.08574,            0.073144,            0.032211,            0.015479,            0.007624,            0.007624,            0.007624
                  26,            0.065031,            0.036519,            0.015523,             0.57915,             0.57692,             0.56077,             0.19491,            0.058417,            0.034481,            0.014308,            0.007525,            0.007525,            0.007525
                  27,            0.062987,             0.03667,            0.014803,             0.74327,             0.57522,             0.61682,             0.18942,            0.060692,            0.031727,            0.012204,            0.007426,            0.007426,            0.007426
                  28,            0.061979,             0.03656,            0.012925,             0.37595,             0.48718,             0.38332,             0.14146,            0.072628,            0.032124,            0.013396,            0.007327,            0.007327,            0.007327
                  29,            0.060138,            0.035076,            0.012289,             0.62738,             0.57296,              0.5598,              0.1674,            0.067655,            0.033016,            0.010088,            0.007228,            0.007228,            0.007228
                  30,            0.060896,            0.035116,            0.011446,             0.53158,             0.67687,             0.53165,              0.2015,            0.059077,            0.033318,            0.011993,            0.007129,            0.007129,            0.007129
