               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11783,            0.034957,            0.028579,           0.0004339,            0.044872,          0.00026274,          4.5896e-05,             0.10831,            0.039014,             0.02701,              0.0955,              0.0005,              0.0005
                   1,             0.11493,             0.03793,            0.028192,          0.00059821,            0.064103,          0.00040507,          0.00010732,             0.10496,            0.041013,            0.026843,            0.090064,           0.0010637,           0.0010637
                   2,              0.1116,            0.043254,            0.027568,          0.00072907,            0.083333,          0.00050796,           0.0001414,             0.10203,            0.042725,            0.026681,            0.084588,           0.0015878,           0.0015878
                   3,              0.1066,            0.043723,             0.02714,           0.0017092,             0.16667,           0.0013266,          0.00021976,            0.099574,            0.044349,            0.026507,            0.079072,           0.0020723,           0.0020723
                   4,             0.10408,            0.045877,            0.026932,            0.001544,             0.14744,           0.0010891,          0.00021877,            0.097712,             0.04562,            0.026338,            0.073517,           0.0025172,           0.0025172
                   5,             0.10101,            0.050607,            0.026628,           0.0015544,             0.14744,           0.0011081,          0.00021679,             0.09582,             0.04682,            0.026124,            0.067922,           0.0029225,           0.0029225
                   6,            0.099499,            0.051931,            0.026337,            0.001787,              0.1859,           0.0016097,           0.0004299,            0.094602,            0.047534,            0.025901,            0.062288,           0.0032882,           0.0032882
                   7,            0.097748,            0.054574,            0.025998,            0.001955,             0.19231,           0.0027962,          0.00058432,            0.094139,            0.047648,            0.025684,            0.056614,           0.0036143,           0.0036143
                   8,            0.097248,             0.05058,            0.025719,            0.001955,             0.19231,            0.003292,          0.00068964,            0.094019,             0.04756,            0.025526,            0.050901,           0.0039008,           0.0039008
                   9,            0.094873,            0.050869,            0.025436,            0.001955,             0.19231,           0.0064703,            0.001465,            0.094081,            0.047308,            0.025384,            0.045148,           0.0041477,           0.0041477
                  10,            0.091552,            0.052384,             0.02529,           0.0022911,             0.20513,            0.016707,           0.0035194,            0.094143,             0.04697,            0.025229,            0.039355,            0.004355,            0.004355
                  11,            0.087877,             0.04506,            0.024944,           0.0031083,             0.23718,              0.0364,           0.0068341,            0.093772,            0.046878,            0.025042,            0.033523,           0.0045227,           0.0045227
                  12,            0.086283,              0.0457,            0.024725,           0.0033399,                0.25,            0.028643,           0.0044751,            0.093364,            0.046251,            0.024834,            0.027651,           0.0046508,           0.0046508
                  13,            0.083587,             0.04272,            0.024406,           0.0034797,             0.25641,            0.026373,           0.0049459,             0.09128,            0.046187,            0.024645,            0.021739,           0.0047393,           0.0047393
                  14,            0.080041,             0.04269,            0.024138,           0.0093923,             0.71795,             0.06607,            0.016019,            0.086699,            0.043779,            0.024235,            0.015788,           0.0047882,           0.0047882
                  15,            0.075866,            0.039218,            0.023751,             0.15507,             0.54487,              0.2263,            0.078817,            0.080343,            0.043593,            0.023914,           0.0097975,           0.0047975,           0.0047975
                  16,             0.07641,            0.038251,            0.022929,             0.23298,             0.34615,              0.2522,            0.077651,            0.073499,            0.041015,            0.023411,             0.00472,             0.00472,             0.00472
                  17,            0.072302,             0.04028,            0.022832,             0.28131,             0.39103,             0.23085,            0.075424,            0.071954,            0.037653,             0.02299,             0.00472,             0.00472,             0.00472
                  18,            0.071136,            0.038348,            0.022584,             0.26498,             0.41948,             0.28854,            0.097433,            0.067772,            0.037095,            0.022815,             0.00439,             0.00439,             0.00439
                  19,            0.067843,            0.041183,            0.022367,             0.21943,             0.37179,             0.14222,            0.046684,            0.077354,            0.035178,            0.022998,             0.00406,             0.00406,             0.00406
                  20,            0.065089,            0.039043,            0.021544,             0.31024,             0.38462,             0.22772,            0.081001,            0.075002,            0.035341,            0.022458,             0.00373,             0.00373,             0.00373
                  21,            0.065258,            0.038483,            0.021182,             0.26923,             0.41026,             0.27198,            0.074743,             0.07358,            0.034436,            0.021864,              0.0034,              0.0034,              0.0034
                  22,            0.064347,            0.038199,            0.020663,             0.48952,             0.40956,             0.40085,             0.13723,            0.066237,             0.03493,            0.021301,             0.00307,             0.00307,             0.00307
                  23,            0.065301,              0.0373,            0.019781,             0.46561,             0.46154,             0.46461,             0.17842,            0.062675,            0.035356,            0.020135,             0.00274,             0.00274,             0.00274
                  24,             0.06308,            0.038139,            0.019196,             0.58376,              0.5641,             0.57829,             0.24312,            0.057069,            0.033864,            0.018107,             0.00241,             0.00241,             0.00241
                  25,            0.061707,            0.036526,            0.018701,             0.61278,             0.53846,             0.58317,             0.24072,            0.057185,            0.033862,            0.017082,             0.00208,             0.00208,             0.00208
                  26,            0.062415,            0.037237,            0.018213,             0.78611,             0.47436,             0.58532,             0.25397,            0.056766,             0.03374,             0.01629,             0.00175,             0.00175,             0.00175
                  27,            0.060048,            0.037435,            0.017985,             0.66219,             0.60432,             0.63582,             0.27927,            0.055397,            0.032915,            0.015595,             0.00142,             0.00142,             0.00142
                  28,             0.05949,             0.03759,            0.016725,              0.7748,             0.55171,             0.66303,             0.30876,            0.055346,            0.032552,            0.014898,             0.00109,             0.00109,             0.00109
                  29,            0.058953,            0.036089,            0.016379,             0.80342,             0.58436,             0.69273,             0.31256,            0.054755,            0.032821,            0.014522,             0.00076,             0.00076,             0.00076
